Preview Type , Type de prévisualisation
Polaroid PX-680 Cold - ,
Debug Font Size ,
Polaroid PX-680 Warm - ,
Anisotropic ,
Angle Range ,
Precision (%) ,
Rooster ,
Preprocessor Power ,
Pre-Normalize Image ,
Display Debug Info on Preview ,
Roundness ,
Power ,
Angle Variations ,
Fuji FP-3000b Negative - ,
Angle Inclinaison / Tilt ,
Right Diagonal  Foreground ,
Fuji FP-3000b - ,
Drawing Mode ,
Fuji Neopan 1600 ,
Y-Variations ,
Preprocessor Radius ,
Preserve Edges ,
Angular Precision ,
Position ,
Dilate ,
Full (Allows Multi-Layers) ,
Saturation Randomness (%) ,
Manual ,
Save Gradient As ,
Full Side by Side Keep Uncompressed ,
Different Axis ,
Same Axis ,
270 Deg. ,
Runge-Kutta ,
Rubik ,
Y-Scale ,
Dilation - Original ,
Map Tones ,
Dimension En Pixels ,
Dirichlet ,
LN Neightborhood-Smoothness ,
Octagonal ,
Stardust ,
Supprimer Calque / Delete Layer ,
Increasing ,
Black Point ,
Central  Perspective Outdoor ,
Balance Color ,
Starting Angle ,
Blacks ,
Wave ,
Vivid Light ,
Iters ,
LN Average-Smoothness ,
Vignette Max Radius ,
LN Size ,
Tiles ,
Normalize Luma ,
Vivid Edges ,
Bottom ,
Operator ,
Truchet ,
Original - Opening ,
Original - Erosion ,
Kodak Portra 160 VC ,
Centre ,
None (Allows Multi-Layers) ,
White Walls ,
Inverse ,
Blue Smoothness ,
Tiled Preview ,
Whiter Whites ,
Most ,
Outline Size ,
Activate 'Pencil Smoother' ,
Night 01 ,
Triangles ,
Wavelet ,
Normalization ,
Inner Shade ,
Canaux / Channel(s) ,
Inner Radius (%) ,
Canvas ,
Inner Radius ,
View Resolution ,
Very High (Even Slower) ,
Starting Point (%) ,
LCH ,
Box ,
Output Filename ,
LCH8 ,
Brighter ,
Thumbnail Size ,
Balance ,
Line ,
Normal Map ,
Octogon ,
Local Contrast ,
Kodak Portra 160 NC ,
Bandwidth ,
Absolute Value ,
Branches ,
Brush Diameter (px) ,
Thinness ,
Symmetry Sides ,
Output Type ,
Lineart + Color Spots + Extrapolated Colors ,
Boost Contrast ,
Inside ,
Square to Circle ,
Thickness (%) ,
Bidirectional Rendering ,
Thickness (px) ,
Lightness Level ,
Jet ,
Symmetry ,
Input Type ,
8th Color ,
Stretch ,
Little ,
Bump Map ,
Number ,
Vignette Strength ,
Image Smoothness ,
Stretch Contrast ,
Chebyshev ,
Outer Radius ,
Stroke Length (px) ,
Aliasing ,
Tiny ,
Vignette Min Radius ,
Tetris ,
Blur Amplitude ,
Swap ,
Linear Light ,
Number of Frames ,
Warm Vintage ,
Swap Colors ,
Swap Layers ,
Whirls ,
Beta ,
Tone Mapping ,
Linear Burn ,
Number of Key-Frames ,
Posterized Dithering ,
Number of Iterations per Scale ,
Précision Détails / Details Scale ,
Preview Frame Selection ,
Mineral Mosaic ,
Octaves ,
Preview Detected Shapes ,
Pre Normalize ,
Pow ,
Pre-Defined Colormap ,
Moviz 11 ,
Preview Brush ,
Number of Matches (Coarsest) ,
Preview Color Mapping ,
Pre-Gamma ,
Preview Data ,
Pre-Defined ,
Object Animation ,
Preview ,
ON1 Photography (90) ,
Min-T ,
Preliminary Y-Axis Scaling ,
Object Tolerance ,
Preview All Outputs ,
Object Ratio ,
Preserve Alpha? ,
Preserve Image Dimension ,
Preserve Initial Brightness ,
Number of Streaks ,
Preserve Range ,
Preserve Canvas for Post Bump Mapping ,
Preserve Covariance ,
Number of Sizes ,
Number of Teeth ,
Preliminary X-Axis Scaling ,
Minesweeper ,
Preserve Luminance ,
Min Length (%) ,
Min Offset (%) ,
Min Detail Level ,
Pre-Process ,
Moviz 47 ,
Number of Matches (Finest) ,
Night 02 ,
Preview Bands ,
Octagon ,
Preview Background ,
Preliminary Surface Shift ,
Predefined Formula ,
MinRGB ,
Predefined Style ,
Min Radius ,
Portrait-8 ,
Minimal Shape Area ,
Moviz 8 ,
One Layer per Single Color ,
One Layer (Vertical) ,
One Layer per Single Region ,
Minimal Size (%) ,
Only Leafs ,
Portrait-6 ,
Moviz 32 ,
Portrait-7 ,
Moviz 33 ,
One Layer ,
Once Upon a Time ,
Portrait2 ,
Portrait3 ,
Portrait10 ,
Portrait-9 ,
Minimal Scale (%) ,
One Layer (Horizontal) ,
Portrait0 ,
Portrait1 ,
Op Art ,
Pollock: Summertime Number 9A ,
Polygonize [Delaunay] ,
Polygonize [Energy] ,
Pop Shadows ,
Opacité / Opacity ,
Minimal Stroke Length ,
Opacité Flocon / Opacity Snowflake ,
Opacité / Opacity Contours ,
Polka Dots ,
Pollock: Convergence ,
Portrait-2 ,
Portrait-3 ,
Moviz 31 ,
Portrait-4 ,
Portrait-5 ,
Portrait-1 ,
Popcorn Fractal ,
Only Red and Blue ,
Only Red ,
Moviz 9 ,
Portrait Retouching ,
Portrait4 ,
Position Y Origine (%) ,
Minimal Color Intensity ,
Post-Gamma ,
Newspaper ,
Minimal Area (%) ,
Position Y (%) ,
Offset Y-Transformation ,
Minimal Highlights ,
Morphological Filter ,
Position X (%) ,
Position X Origine (%) ,
Newton ,
Oddness (%) ,
Newton Fractal ,
Posterization Level ,
Posterize ,
Posterization Antialiasing ,
Post-Process ,
Offset X-Transformation ,
Offset (%) ,
Poster Edges ,
Moviz 48 ,
Minimal Radius ,
Oldschool 8bits ,
Old-Movie Stripes ,
Old West ,
Portrait8 ,
Portrait7 ,
Morphological Closing ,
Ombre / Shadow ,
Portrait5 ,
Portrait6 ,
Olivio Sarikas (19) ,
Ohad Peretz (7) ,
Offsets ,
Moviz 5 ,
New Filters ,
Minimal Path ,
Ohta8 ,
Moviz 7 ,
Moviz 6 ,
Portrait9 ,
Old Photograph ,
Old Method - Slowest ,
Quick Enlarge ,
Quick Tonemap ,
Récursions Contours ,
Résolution ,
R/B Smoothness (Principal) ,
Quick Copyright ,
Moviz 38 ,
Non / Without ,
Non / No ,
Nombre De Rayons / Number Of Rays ,
Quick ,
Moviz 4 ,
Noise [Perlin] ,
Moviz (48) ,
RGB Tone ,
Noise [Additive] ,
RGB Quantization ,
R/B Smoothness (Secondary) ,
Noise [Spread] ,
Mid ,
RGB Image + Binary Mask (2 Layers) ,
Micro/macro Details  Adjusted ,
Non-Linearity ,
Motion Analyzer ,
Moviz 41 ,
Moviz 40 ,
Motion-Compensated ,
Pyramid Processing ,
Puzzle ,
Pseudorandom Noise ,
Moviz 42 ,
Purple11 (12) ,
Push Point ,
Normal Inverted ,
Mid Noise ,
None- Skip ,
Mid Grey ,
Moving Leaf ,
Non-Rigid ,
Quality (%) ,
Pythagoras Tree ,
Norm Type ,
Quadrangle ,
Quadtree Variations ,
Quality ,
RYB ,
Medium Scale (Smoothed) ,
Medium Scale (Original) ,
Medium Frequency Layer ,
Night 04 ,
Nine Layers ,
Merge Brightness / Colors ,
No Rescaling ,
No Recovery ,
Memories ,
No Masking ,
Radioactive Flower ,
Night From Day ,
Night Blade 4 ,
Night 05 ,
Polaroid PX-70 ,
Night King 141 ,
RYB8 ,
Nightlife ,
Night Spy ,
Radial Edge Behaviour ,
Radial Influence ,
No Transparency ,
Noise ,
Moviz 1 ,
Metallic Look ,
Metal ,
Moviz 39 ,
Noise Level ,
Michael Ezra (2) ,
Night 03 ,
Metropolis ,
Noise Scale ,
Metric ,
RGBA Image (Updatable / 1 Layer) ,
Merging Steps ,
Moviz 10 ,
Merging Mode ,
Merge Layers? ,
RGBA Image (Full-Transparency / 1 Layer) ,
Mess with Bits ,
RGB8 ,
RGBA ,
No-Skip ,
RGBA Foreground + Background (2 Layers) ,
Pseudo-Gray Dithering ,
Nostalgia Honey ,
Normalize Scales ,
Preview Without Alpha ,
Prewitt-X ,
Milo 5 ,
Preview Tones Map ,
Preview Shape ,
Min Angle Deviation (deg) ,
Moviz 34 ,
Preview Subsampling ,
Preview Time ,
Normalize Input ,
Primary Radius (%) ,
Mighty Details ,
Morroco 16 ,
Primary Shift ,
Primary Gamma ,
Moviz 44 ,
Prewitt-Y ,
Primary Angle ,
Primary Color ,
Primary Factor ,
Preview Selection ,
Preview Light Shape ,
Preview Mapping ,
Preview Mask ,
Number of Clusters ,
Preview Only Shadow ,
Morphology Strength ,
Number of Iterations ,
Preview Grain Alone ,
Number of Inter-Frames ,
Preview Grid ,
Morphology Painting ,
Min Cut (%) ,
Nostalgic ,
Moviz 45 ,
Min Area % ,
Preview Reference Circle ,
Moviz 46 ,
Preview Opacity (%) ,
Number of Angles ,
Number of Added Frames ,
Preview Progress (%) ,
Nothing ,
Normal Output ,
Process by Blocs of Size ,
Processing Mode ,
Progressen ,
Propagation ,
Process Transparency ,
Process Channels Individually ,
Middle Grey ,
Process Top Layer Only ,
Mid-Light Grey ,
Mid-Dark Grey ,
Mid Tone Contrast ,
Prussian Blue ,
Mid Offset ,
Mostly Blue ,
Moviz 37 ,
Provia ,
Moviz 36 ,
Proportion ,
Protanomaly ,
Protanopia ,
Protect Highlights 01 ,
Middle Scale ,
Print Size Unit ,
Print Size Width ,
Privacy Notice ,
Pro Neg Hi ,
Moviz 43 ,
Print Frame Numbers ,
Primary Twist ,
Print Adjustment Marks ,
Print Films (12) ,
Normalize Illumination ,
Midtones Hue ,
Midpoint Shift ,
Midpoint ,
Probability Map ,
Procedural ,
Process As ,
Pro Neg Std ,
Mosaic ,
Midtones Color Intensity ,
Moviz 35 ,
Midtones Brightness ,
Normalize Brightness ,
Minimal Value ,
Output CLUT Resolution ,
Moire Removal Method ,
Output CLUT ,
